,Address,Area,City,Description,Rate,Society Name
0,Plot No GH01 Sector 16 B, 890 Sq. ft , Greater Noida, 3 BHK+2T, Rs 26.61 Lakhs,Supertech Eco Village 2
1,Yamuna Expressway, 1150 Sq. ft , Greater Noida, 2BHK+2T, Price On Request,ATS Allure
2,Knowledge Park 5, 0 Sq. ft , Greater Noida, Residential, Price On Request,Imperia H2O Residency
3,Zeta 1, 895 Sq. ft , Greater Noida, 2 BHK+2T, Price On Request,Migsun Green Mansion
4,Sector Pi, 1855 Sq. ft , Greater Noida, 3 BHK+3T, Price On Request,Parsvnath Privilege
5,Sector Pi, 1320 Sq. ft , Greater Noida, 2 BHK+2T, Price On Request,Parsvnath Palacia
6,Sector Pi, 1265 Sq. ft , Greater Noida, 3 BHK+3T, Price On Request,Purvanchal Silver City II
7,Knowledge Park 5, 0 Sq. ft , Greater Noida, Commercial, Price On Request,Imperia Cyber Business Center
8,Sector 1, 985 Sq. ft , Greater Noida, 2 BHK+2T, Price On Request,Vihaan Greens
9,Sigma IV, 1800 Sq. ft , Greater Noida, 3 BHK+3T, Price On Request,Stellar Sigma
10,Knowledge Park 5, 0 Sq. ft , Greater Noida, Commercial, Price On Request,Imperia Bandhan
11,Sector Omega 1, 1035 Sq. ft , Greater Noida, 2 BHK+2T, Price On Request,Today Kings Park
12,Tech Zone, 0 Sq. ft , Greater Noida, Commercial, Price On Request,Stellar Business Park
13,Zeta 1, 1240 Sq. ft , Greater Noida, 2 BHK, Price On Request,ATS Dolce
14,Knowledge Park 5, 0 Sq. ft , Greater Noida, Commercial, Price On Request,Imperia H2O Office
15,Alpha 2, 606 Sq. ft , Greater Noida, Commercial, Price On Request,Omaxe India Trade Centre
16,Knowledge Park 5, 0 Sq. ft , Greater Noida, Commercial, Price On Request,Imperia Onyx
17,Omicron III, 1274 Sq. ft , Greater Noida, 2 BHK, Price On Request,"Migsun Mannat 2,3,4 BHK"
18,Yamuna Expressway, 945 Sq. ft , Greater Noida, Villa, Price On Request,Gaursons Krishn Vilas
19,Omicron 1, 955 Sq. ft , Greater Noida, 2 BHK+2T, Price On Request,Gaur Atulyam
20,Knowledge Park 5, 0 Sq. ft , Greater Noida, Commercial, Price On Request,Imperia Premeria
21,Site 4, 0 Sq. ft , Greater Noida, Commercial, Price On Request,KDP Greater Noida Shopping Plaza
22,Yamuna Expressway, 515 Sq. ft , Greater Noida, 1 BHK+1T, Rs 12.51 Lakhs,Ajnara Panorama
23,Omicron III, 695 Sq. ft , Greater Noida, 2 BHK+1T, Rs 13.97 Lakhs,Migsun Mannat
24,ETA 2, 697 Sq. ft , Greater Noida, 2 BHK, Rs 14.01 Lakhs,Migsun Wynn
25,Yamuna Expressway, 515 Sq. ft , Greater Noida, 1 BHK+1T, Rs 14.06 Lakhs,Ajnara Vice Royale
26,Omicron III, 695 Sq. ft , Greater Noida, 2 BHK+1T, Rs 15.01 Lakhs,Migsun Ultimo
27,Yamuna Expressway, 500 Sq. ft , Greater Noida, 1 BHK+1T, Rs 15.75 Lakhs,Supertech Upcountry
28,CHI V, 370 Sq. ft , Greater Noida, 1 BHK+1T, Rs 16.98 Lakhs,Earthcon Beetle Suites 2
29,Knowledge Park 3, 380 Sq. ft , Greater Noida, 1 BHK+1T, Rs 17.44 Lakhs,Earthcon Beetle Orchid
30,Yamuna Expressway, 625 Sq. ft , Greater Noida, 1BHK+1T, Rs 18.84 Lakhs,Supertech Grand Circuit
31,Yamuna Expressway, 799 Sq. ft , Greater Noida, 2 BHK+2T, Rs 19.10 Lakhs,Ajnara R1
32,Yamuna Expressway, 425 Sq. ft , Greater Noida, 2 BHK+2T, Rs 9.58 Lakhs,Vihaan Golf Bay
33,Sector Beta II, 276 Sq. ft , Greater Noida, Commercial, Rs 19.32 Lakhs,Omaxe Connaught Place
34,Yamuna Expressway, 120 Sq. Yards , Greater Noida, Plots, Rs 20.40 Lakhs,3C Lotus City
35,Yamuna Expressway, 500 Sq. ft , Greater Noida, 1 BHK+1T, Rs 15.08 Lakhs,Supertech Golf Village
36,Yamuna Expressway, 1000 Sq. ft , Greater Noida, 2 BHK+2T, Rs 21.80 Lakhs,Gaursons Yamuna City
37,Yamuna Expressway, 590 Sq. ft , Greater Noida, 1BHK+1T, Rs 22.72 Lakhs,Supertech Golf Suites
38,FNG Expressway, 850 Sq. ft , Greater Noida, 2 BHK+2T, Rs 22.91 Lakhs,Oasis Venetia Heights
39,Yamuna Expressway, 655 Sq. ft , Greater Noida, 1 BHK+1T+1Study-R, Rs 22.93 Lakhs,Solitairian City
40,Yamuna Expressway, 918 Sq. ft , Greater Noida, Plots, Rs 21.93 Lakhs,Gaur Yamuna City Residential Plots
41,Yamuna Expressway, 445 Sq. ft , Greater Noida, 1 BHK, Rs 27.81 Lakhs,Spire WTC Riverside Residences
42,Sector 2, 950 Sq. ft , Greater Noida, 2 BHK+2T, Rs 28.41 Lakhs,Nirala Greenshire
43,Tech Zone 1, 500 Sq. ft , Greater Noida, Commercial, Rs 28.75 Lakhs,WTC Noida
44,Yamuna Expressway, 500 Sq. ft , Greater Noida, Commercial Office Space, Rs 28.75 Lakhs,World Trade Centre
45,Yamuna Expressway, 1000 Sq. ft , Greater Noida, 2 BHK+2T, Rs 29.50 Lakhs,Lotus  Greens Enviro City
46,Tech Zone IV, 880 Sq. ft , Greater Noida, 2 BHK+2T+1Terrace, Rs 30.32 Lakhs,La Residentia
47,Yamuna Expressway, 1030 Sq. ft , Greater Noida, 2 BHK+2T, Rs 30.39 Lakhs,Lotus Greens Parkscape
48,Yamuna Expressway, 1150 Sq. ft , Greater Noida, 2 BHK+2T, Rs 31.45 Lakhs,ATS The Hedges
49,Yamuna Expressway, 1000 Sq. ft , Greater Noida, 2 BHK+2T, Rs 31.50 Lakhs,Supertech Fable Castle
50,Sector 10, 850 Sq. ft , Greater Noida, 2 BHK+2T, Rs 26.14 Lakhs,Mahagun Mantra
51,Greater Noida West, 450 Sq. ft , Greater Noida, 3 BHK+3T+1Pooja-R, Rs 31.95 Lakhs,Aims  Golf Town
52,Omicron III, 1110 Sq. ft , Greater Noida, 2 BHK+2T, Rs 35.80 Lakhs,Stellar MI Citihomes
53,Sector 4, 1075 Sq. ft , Greater Noida, 2BHK+2T, Rs 36.50 Lakhs,Gaursons Gaur City 7th Avenue
54,Sector 16B, 1182 Sq. ft , Greater Noida, 2 BHK+2T, Rs 37.59 Lakhs,Shri Radha Sky Gardens
55,Sector Zeta 1, 700 Sq. ft , Greater Noida, 2 BHK+2T, Rs 25.90 Lakhs,Ace Platinum
56,Yamuna Expressway, 1042 Sq. ft , Greater Noida, 2 BHK+2T, Rs 41.68 Lakhs,Imperia Armada
57,Yamuna Expressway, 1125 Sq. ft , Greater Noida, 4 BHK, Rs 42.75 Lakhs,Supertech Holiday Village
58,Sector 25, 1350 Sq. ft , Greater Noida, 3 BHK+3T, Rs 46.58 Lakhs,Imperia Mirage
59,Zeta 1, 1830 Sq. ft , Greater Noida, 3 BHK+3T, Rs 52.16 Lakhs,Purvanchal Heights
60,Yamuna Expressway, 1890 Sq. ft , Greater Noida, 4 BHK+6T+1Servant-R+1Study-R, Rs 61.52 Lakhs,Ajnara London Square
61,Sector Zeta 1, 2227 Sq. ft , Greater Noida, 3 BHK+3T+1Store-R, Rs 75.72 Lakhs,Stellar MI Legacy
62,Omicron 1, 1920 Sq. ft , Greater Noida, 5 BHK, Rs 81.25 Lakhs,Supertech Czar Villas
63,Yamuna Expressway, 2588 Sq. ft , Greater Noida, 4 BHK+4T, Rs 93.17 Lakhs,Supertech Golf Country Villa
64,Near Pari Chowk, 1974 Sq. ft , Greater Noida, 3 BHK+5T, Rs 1.04 Cr,The Hemisphere Golf Villas
65,Sector 27, 2359 Sq. ft , Greater Noida, 4 BHK+4T+1Terrace, Rs 1.11 Cr,Godrej Golf Links
66,Yamuna Expressway, 2795 Sq. ft , Greater Noida, 4 BHK+4T, Rs 1.12 Cr,Supertech Upcountry Villa
67,Knowledge Park 3, 2350 Sq. ft , Greater Noida, 4 BHK+5T+1Terrace+1Servant-R+1Store-R, Rs 1.36 Cr,O2 The Hemisphere Ferns
68,Sector 25, 4650 Sq. ft , Greater Noida, 5 BHK+7T+1Servant-R, Rs 2.56 Cr,Solitairian Villa
